heuristic,abbreviation,classification,Lstype,Hybrid,RootLS,Initialization,Population,Evolutionary,Memory,MemoryDesc,Perturbation,Description,problem
MERZ1999MUTATE,MER99MU,Genetic Algorithm,None,No,None,EquiRandom,Yes,2Parent,No,,No,"Genetic algorithm with crossover, no mutation, and no local search",QUBO
MERZ1999CROSS,MER99CR,Genetic Algorithm,None,No,None,EquiRandom,Yes,1Parent,No,,Yes,Genetic algorithm with mutation but no crossover or local search,QUBO
PALUBECKIS2006,PAL06,Iterated Local Search,Tabu Search,Yes,AllFirst1Swap,EquiRandom,No,No,Yes,Tabu search,Yes,Iteratively perturb and then apply the tabu search from Palubeckis2004b,QUBO
KATAYAMA2001,KAT01,Simulated Annealing,SA 1-move,No,SA 1-move,EquiRandom,No,No,No,,No,Simulated annealing,QUBO
LU2010,LU10,Genetic Algorithm,Tabu Search,Yes,TS 1-move,EquiRandom,Yes,2Parent,Yes,Tabu search,No,"Genetic algorithm, where local search is performed by tabu search",QUBO
PARDALOS2008,PAR08,Generalized Equilibrium Search,Tabu Search,Yes,TS 1-move,EquiRandom,Yes,1Parent,Yes,Tabu search,No,"Maintain a set of elite solutions, and each iteration generate new solutions by perturbing the best elite solution (perturbation based on distribution of solutions in elite set), finally improving with a tabu search",QUBO
GLOVER2010,GLO10,Tabu Search,TS 1-move,No,TS 1-move,EquiRandom,Yes,1Parent,Yes,Tabu search; flip frequencies from tabu search,No,"Maintain elite set of solutions, iteratively perturbing and then re-optimizing elite solutions",QUBO
LAGUNA2009CE,LAG09CE,Cross-Entropy Method,None,No,None,RandGreedy,Yes,No,Yes,,No,"Generate random solutions, noting the node sets for the best solutions; favor common settings in further random solutions",MAX-CUT
LAGUNA2009HCE,LAG09HCE,Cross-Entropy Method,AllShuffle1Swap,No,AllShuffle1Swap,RandGreedy,Yes,No,Yes,,No,"Similar to LAGUNA2009CE, but perform local search on random solutions",MAX-CUT
BEASLEY1998SA,BEA98SA,Simulated Annealing,SA 1-move; AllFirst1Swap,No,SA 1-move; AllFirst1Swap,EquiRandom,No,No,No,,No,Simulated annealing,QUBO
BEASLEY1998TS,BEA98TS,Tabu Search,AllFirst1Swap,No,AllFirst1Swap,EquiRandom,No,No,Yes,Tabu search,No,Tabu search wrapped in random restart,QUBO
MERZ2002GREEDY,MER02GR,GRASP,None,No,None,RandGreedy,No,No,No,,No,GRASP with no local search,QUBO
MERZ2002ONEOPT,MER02LS1,Local Search,AllBest1Swap,No,AllBest1Swap,EquiRandom,No,No,No,,No,Local search with random restarts,QUBO
MERZ2002KOPT,MER02LSK,Local Search,k-opt,No,k-opt,EquiRandom,No,No,No,,No,Local search with random restarts,QUBO
MERZ2002GREEDYKOPT,MER02GRK,Local Search,k-opt,No,k-opt,RandGreedy,No,No,No,,No,Local search with random restarts,QUBO
KATAYAMA2000,KAT00,Genetic Algorithm,k-opt,No,k-opt,EquiRandom,Yes,2Parent,No,,Yes,Genetic algorithm with k-opt local search; mutation triggered when population not diverse enough,QUBO
MERZ2004,MER04,Genetic Algorithm,Randomized k-opt,No,Randomized k-opt,RandGreedy,Yes,2Parent,No,,Yes,Genetic algorithm with k-opt local search; mutation triggered when population not diverse enough,QUBO
ALKHAMIS1998,ALK98,Simulated Annealing,SA 1-move,No,SA 1-move,EquiRandom,No,No,No,,No,Simulated annealing,QUBO
HASAN2000GA,HAS00GA,Genetic Algorithm,AllBest1Swap,No,AllBest1Swap,EquiRandom,Yes,2Parent,No,,Yes,"Genetic algorithm, with crossover, local search, and mutation",QUBO
HASAN2000TS,HAS00TS,Tabu Search,TS 1-move,No,TS 1-move,EquiRandom,No,No,Yes,Tabu search,No,Tabu search wrapped in random restart,QUBO
LODI1999,LOD99,Genetic Algorithm,1Swap variation,No,1Swap variation,RandGreedy,Yes,2Parent,No,,No,Genetic algorithm with crossover and local search but no mutation,QUBO
GLOVER1998a,GLO98,Tabu Search,TS 1-move,No,TS 1-move,EquiRandom,No,No,Yes,Tabu search; tabu search metrics,No,Tabu search with with various penalties and phases,QUBO
